display  D   display_settings.c:486  _al_score_display_settings       [   0.01411] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01412] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01413] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01414] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01415] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01416] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01417] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01419] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01420] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01421] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01422] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01424] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01425] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01427] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01428] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01429] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01430] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.01431] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01432] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01434] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01435] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01436] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01437] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01438] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01440] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01441] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01443] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01444] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01445] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01447] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01448] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01450] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01451] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01453] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01454] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01455] Single Buffer requirement not met.
