display  D   display_settings.c:357  _al_score_display_settings       [   0.03013] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03014] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03015] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03016] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03018] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03019] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03020] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03021] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03022] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03024] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03025] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03026] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03027] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03029] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03030] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03031] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03032] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03033] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03035] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03036] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03037] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03038] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03039] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03041] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03042] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03043] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03044] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03046] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03047] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03048] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03049] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03050] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03052] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03053] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03054] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03055] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03056] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03058] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03059] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03060] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03061] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03062] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03064] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03065] Score is : 714
