display  D   display_settings.c:357  _al_score_display_settings       [   2.79586] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79587] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79588] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79590] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79591] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79593] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79598] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79603] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79608] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79610] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79613] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79616] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   2.79618] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79619] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79620] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79621] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79622] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79624] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79625] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   2.79626] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79627] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79628] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79630] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79631] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79632] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79633] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79634] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79636] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79637] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79638] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79639] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79640] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79642] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79643] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79644] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79645] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79647] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   2.79648] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   2.79649] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   2.79650] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   2.79651] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   2.79653] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   2.79654] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   2.79655] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79656] Score is : 737
