display  D   display_settings.c:486  _al_score_display_settings       [   0.01798] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01800] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01803] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01805] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01807] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01809] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01811] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01812] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01814] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01816] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01818] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01820] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01822] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01824] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01826] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01827] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01829] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01832] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01834] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01836] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01838] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01840] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01842] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01848] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01851] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01853] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01855] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01857] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01859] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01861] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01863] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01865] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01866] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01868] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01870] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01872] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01874] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01876] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01878] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01880] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01882] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01884] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01886] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01888] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01890] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01892] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01894] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01896] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01898] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01900] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01906] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01909] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01911] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01913] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01915] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01917] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01919] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01921] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01923] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01925] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01927] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01929] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01931] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01933] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01935] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01937] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01939] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01941] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01943] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01945] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01947] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01949] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01951] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01953] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01955] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01957] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01959] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01961] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01962] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01964] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01966] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01968] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01970] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01972] Score is : 769
