display  D   display_settings.c:357  _al_score_display_settings       [   0.03999] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04000] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04001] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04003] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04004] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04005] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04006] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04007] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04009] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04010] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04011] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04012] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04013] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04014] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04016] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04017] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04018] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04019] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04020] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04022] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04023] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04024] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04025] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04027] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04028] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04029] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04030] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04031] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04032] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04034] Single Buffer requirement not met.
