display  D   display_settings.c:357  _al_score_display_settings       [   0.02045] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02047] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02049] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02052] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02054] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02056] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02058] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02060] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02062] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02064] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02066] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02068] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02070] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02074] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02076] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02078] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02081] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02083] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02085] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02087] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02089] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02091] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02093] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02095] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02097] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02099] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02101] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02103] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02105] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02107] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02109] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02111] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02113] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02115] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02117] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02119] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02121] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02123] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02125] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02127] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02129] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02131] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02133] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02135] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02138] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02139] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02142] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02144] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02146] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02148] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02149] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02151] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02154] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02156] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02158] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02160] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02162] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02164] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02166] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02168] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02170] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02172] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02174] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02175] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02177] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02179] Score is : 715
