system   W            wsystem.c:504  load_library_at_path             [   0.00047] Failed to load C:\Users\Brad\Desktop\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\GTMod2Extreme\Debug\d3d9.dll (error: 126)
display  D   display_settings.c:486  _al_score_display_settings       [   0.05540] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.05542] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.05543] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.05545] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05546] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05548] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05550] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05551] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05553] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05554] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05556] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05558] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05559] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05561] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05565] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05566] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05568] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05570] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05591] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05593] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05597] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05600] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05608] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05612] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05620] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05622] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05624] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05626] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05628] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05630] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05632] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05633] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05635] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05636] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05638] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.05639] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.05641] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05643] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05644] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.05646] Score is : 897
